Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Page,1,1093,1093,1093,"0,00","0,000%",",91491","22,97","0,45","25704,0"
icons,1,220,220,220,"0,00","0,000%","4,54545","13,33","2,73","3002,0"
Login,1,964,964,964,"0,00","0,000%","1,03734","22,02","1,54","21741,0"
History,1,542,542,542,"0,00","0,000%","1,84502","37,19","1,58","20641,0"
CustomerData,1,583,583,583,"0,00","0,000%","1,71527","39,82","1,40","23770,0"
Orders,1,595,595,595,"0,00","0,000%","1,68067","33,88","1,38","20641,0"
Order703194,1,702,702,702,"0,00","0,000%","1,42450","84,85","0,64","60992,0"
Photo703194,1,251,251,251,"0,00","0,000%","3,98406","102,45","1,79","26332,0"
Facture703194,1,204,204,204,"0,00","0,000%","4,90196","23,89","2,20","4991,0"
SearchProduct,1,699,699,699,"0,00","0,000%","1,43062","29,01","1,17","20768,0"
SearchProductIcon,1,248,248,248,"0,00","0,000%","4,03226","110,40","1,81","28036,0"
SearchProduct NO,1,293,293,293,"0,00","100,000%","3,41297","201,70","1,44","60516,0"
Search Page Product Random,1,1571,1571,1571,"0,00","0,000%",",63654","19,61","0,52","31542,0"
Search Page Product Random 2,1,329,329,329,"0,00","0,000%","3,03951","92,46","2,61","31149,0"
Logout,1,538,538,538,"0,00","0,000%","1,85874","47,08","4,85","25936,0"
RAZEM,15,588,204,1571,"370,48","6,667%",",26746","7,07","0,22","27050,7"
